rank,ticker,name,sector_type,price,overall,fundamental,valuation,banking,management,sentiment,grade,iv,upside,signal,roe,roce,roa,pe,pb,market_cap_cr,rsi,return_3m,status,elapsed
1,LTIM,LTIMindtree Limited,IT,4501.0,82,90,95,0,81,42,A,373951.83,8208.2,🟢 STRONG BUY — Significant discount to intrinsic value,20.97,26.33,0,28.059347,5.632523,133427.0,9.9,-23.6,done,9.1
2,WIPRO,Wipro Limited,IT,200.14,79,83,95,0,79,46,A,15019.42,7404.5,🟢 STRONG BUY — Significant discount to intrinsic value,15.2,18.42,0,15.858954,2.3377564,209671.0,9.5,-17.9,done,10.1
3,TECHM,Tech Mahindra Limited,IT,1345.4,79,84,95,0,73,50,A,23564.89,1651.5,🟢 STRONG BUY — Significant discount to intrinsic value,14.6,18.78,0,25.793713,4.3346586,119136.0,9.8,-11.5,done,9.3
4,INFY,Infosys Limited,IT,1275.5,78,86,85,0,77,48,A,1683.93,32.0,🟢 STRONG BUY — Significant discount to intrinsic value,32.68,36.24,0,18.265787,6.1600723,516028.0,8.4,-18.1,done,9.6
5,TCS,Tata Consultancy Services Limi,IT,2573.7,77,90,75,0,82,44,A,3233.38,25.6,🟢 BUY — Trading below intrinsic value,42.63,62.02,0,19.506594,8.2036295,931187.0,13.2,-17.1,done,11.4
6,HCLTECH,HCL Technologies Limited,IT,1339.2,75,83,65,0,92,47,A,1575.41,17.6,🟢 BUY — Trading below intrinsic value,23.19,30.84,0,22.095364,4.9230566,362341.0,10.1,-16.6,done,9.2
